,Authors,Quotes,Likes,tags
22,Gloria Naylor,“Sometimes being a friend means mastering the art of timing. There is a time for silence. A time to let go and allow people to hurl themselves into their own destiny. And a time to prepare to pick up the pieces when it's all over.”,1725,['friendship']
23,Aristotle,“A friend to all is a friend to none.”,1656,['friendship']
24,Aristotle,"“Wishing to be friends is quick work, but friendship is a slow ripening fruit.”",1652,['friendship']
25,"R.J. Palacio,","“Courage. Kindness. Friendship. Character. These are the qualities that define us as human beings, and propel us, on occasion, to greatness.”",1649,"['character,', 'compassion,', 'courage,', 'friendship,', 'honor,', 'humanity,', 'kindness']"
26,Doris Lessing,"“Trust no friend without faults, and love a woman, but no angel.”",1600,"['friendship,', 'love,', 'trust']"
27,"Jim Henson,","“There's not a word yet, for old friends who've just met.”",1567,"['friends,', 'friendship']"
28,Jayne Anne Phillips,“Talk between women friends is always therapy...”,1559,['friendship']
29,"Ray Bradbury,","“We cannot tell the precise moment when friendship is formed. As in filling a vessel drop by drop, there is at last a drop which makes it run over; so in a series of kindnesses there is at last one which makes the heart run over.”",1486,"['friendship,', 'heart,', 'kindness']"
0,"Dale Carnegie,",“You can make more friends in two months by becoming interested in other people than you can in two years by trying to get other people interested in you.”,1501,"['friends,', 'friendship,', 'self-help']"
1,"Marc Wambolt,",“I may not always be with you,1480,"['family,', 'friendship,', 'inspirational,', 'love,', 'poetry,', 'relationships']"
2,"J.K. Rowling,","“We'll be there, Harry,"" said Ron",1479,['friendship']
3,John Holmes,“There is no exercise better for the heart than reaching down and lifting people up.”,1468,"['charity,', 'compassion,', 'friendship,', 'generosity,', 'helping-others']"
